"ID_Number";"Staff_Group";"Role";"Last_access";"Course_Title";"Enrolment_Date";"Completed";"Completion_Date"
32787;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-16";"Anaphylaxis v4.0";"2025-05-22";"Yes";"2025-05-27"
80255;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-14";"Anaphylaxis v4.0";"2025-10-23";"No";""
277;"Nursing and Midwifery Registered";"Midwife";"2026-03-28";"Anaphylaxis v4.0";"2025-07-28";"No";""
73153;"Additional Clinical Services";"Healthcare Assistant";"2026-04-16";"Anaphylaxis v4.0";"2026-03-17";"Yes";"2026-03-18"
284;"Nursing and Midwifery Registered";"Sister or Charge Nurse";"2026-02-20";"Anaphylaxis v4.0";"2025-03-20";"Yes";"2025-03-20"
96004;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-10";"Anaphylaxis v4.0";"2026-01-29";"Yes";"2026-01-29"
74232;"Add Prof Scientific and Technic";"Technician";"2026-03-25";"Anaphylaxis v4.0";"2025-08-05";"Yes";"2025-08-05"
47204;"Allied Health Professionals";"Radiographer - Diagnostic";"2026-04-01";"Anaphylaxis v4.0";"2025-06-11";"Yes";"2025-06-11"
20600;"Add Prof Scientific and Technic";"Technician";"2026-01-23";"Anaphylaxis v4.0";"2025-09-17";"No";""
71051;"Nursing and Midwifery Registered";"Staff Nurse";"2026-03-02";"Anaphylaxis v4.0";"2025-04-23";"Yes";"2025-04-23"
87860;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-10";"Anaphylaxis v4.0";"2025-07-22";"Yes";"2025-07-22"
60053;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-15";"Anaphylaxis v4.0";"2025-08-04";"Yes";"2025-08-04"
85632;"Additional Clinical Services";"Health Care Support Worker";"2026-03-25";"Anaphylaxis v4.0";"2026-02-12";"Yes";"2026-02-12"
86065;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-15";"Anaphylaxis v4.0";"2025-04-27";"No";""
31945;"Nursing and Midwifery Registered";"Specialist Nurse Practitioner";"2026-02-24";"Anaphylaxis v4.0";"2025-11-25";"Yes";"2025-11-25"
87133;"Nursing and Midwifery Registered";"Staff Nurse";"2026-03-06";"Anaphylaxis v4.0";"2025-07-25";"No";""
63378;"Allied Health Professionals";"Radiographer - Diagnostic";"2026-03-27";"Anaphylaxis v4.0";"2025-07-31";"Yes";"2025-07-31"
92887;"Additional Clinical Services";"Health Care Support Worker";"2026-03-05";"Anaphylaxis v4.0";"2025-05-13";"Yes";"2025-05-13"
79133;"Nursing and Midwifery Registered";"Staff Nurse";"2026-01-25";"Anaphylaxis v4.0";"2025-05-15";"Yes";"2025-07-07"
77585;"Additional Clinical Services";"Health Care Support Worker";"2026-04-06";"Anaphylaxis v4.0";"2026-02-26";"No";""
82216;"Nursing and Midwifery Registered";"Staff Nurse";"2026-01-16";"Anaphylaxis v4.0";"2026-01-13";"Yes";"2026-01-13"
96539;"Nursing and Midwifery Registered";"Midwife";"2026-04-13";"Anaphylaxis v4.0";"2026-03-30";"Yes";"2026-03-30"
84812;"Additional Clinical Services";"Health Care Support Worker";"2026-04-04";"Anaphylaxis v4.0";"2026-03-26";"Yes";"2026-03-26"
78712;"Nursing and Midwifery Registered";"Staff Nurse";"2026-03-22";"Anaphylaxis v4.0";"2025-02-28";"Yes";"2025-02-28"
79370;"Nursing and Midwifery Registered";"Staff Nurse";"2026-02-01";"Anaphylaxis v4.0";"2025-12-11";"Yes";"2025-12-27"
46621;"Allied Health Professionals";"Radiographer - Diagnostic";"2026-04-15";"Anaphylaxis v4.0";"2025-04-07";"Yes";"2025-07-20"
78119;"Additional Clinical Services";"Assistant";"2026-03-09";"Anaphylaxis v4.0";"2025-04-07";"Yes";"2025-06-04"
95339;"Nursing and Midwifery Registered";"Staff Nurse";"2026-03-25";"Anaphylaxis v4.0";"2025-12-07";"Yes";"2025-12-07"
32918;"Medical and Dental";"Specialist Registrar";"2026-04-03";"Anaphylaxis v4.0";"2025-08-25";"No";""
